ID,チェック内容,重篤度
0001,アイコンや画像に関して、3:1以上のコントラスト比が確保されている。,[NORMAL]
0003,"テキストおよび画像化されたテキストの表示色と背景色には、充分なコントラスト比が確保されている。

*  文字サイズが24px（18pt）以上の場合：3:1以上
*  文字サイズが19px（14pt）以上で太字の場合：3:1以上
*  その他の場合：4.5:1以上",[NORMAL]
0031,"グレイスケール表示でも利用に支障が出ない配色になっている:

*  リンク箇所を判別できる
*  画像、テキストの意図が伝わる
*  入力フォームの必須項目、エラーを認知できる",[MAJOR]
0032,"形状、色、大きさ、視覚的な位置、方向、音などのうち、1つだけを用いた説明ではなく、複数の要素を用いた説明をしている。

例：

避けるべき表現
   *  赤字の項目は必須項目です
   *  右の表を参照してください
   *  青いボタンを押してください
   *  画面右下のボタンを押してください
問題のない表現
   *  赤い※印のついた項目は必須項目です
   *  右の表（表3）を参照してください
   *  青い「保存」ボタンを押してください
   *  画面右下の「新規作成」ボタンを押してください",[MAJOR]
0153,スクリーン・リーダーのフォーカス箇所を示す表示が視認できる配色になっている,[CRITICAL]
0154,アプリケーション固有の独自ジェスチャーを用いなければ利用できないような機能が設計資料に存在しない。,[CRITICAL]
0241,リンクは、リンク先が容易に推測できるようなテキストで提供されている。,[MINOR]
0242,同じ文脈において、遷移先が同じリンク、目的が同じボタンには、一貫したテキストやアイコンが使われている。,[NORMAL]
0271,見出しのテキストは、内容を適切に示す文言になっている。,[NORMAL]
0333,"画像をリンクやボタンにする場合、クリックやタッチに反応する領域が充分な大きさになっていて、その領域が設計資料で明示されている。

iOSの場合
   44 x 44 px（OSのUIガイドラインで示されている条件）
Androidの場合
   *  タップサイズは48 x 48 pxのサイズで表示上は8pxのスペースを設ける（OSのUIガイドラインで示されている条件）
   *  見た目上横長の領域については縦方向に36px、正方形の領域については40pxを確保する",[NORMAL]
0334,"チェックボックス、ラジオボタン、ボタンなどのフォーム・コントロールやその他の操作を受け付けるものは、クリックやタッチに反応する領域のサイズが充分な大きさになっていて、その領域が設計資料で明示されている。

iOSの場合
   44 x 44 px（OSのUIガイドラインで示されている条件）
Androidの場合
   *  タップサイズは48 x 48 pxのサイズで表示上は8pxのスペースを設ける（OSのUIガイドラインで示されている条件）
   *  見た目上横長の領域については縦方向に36px、正方形の領域については40pxを確保する",[NORMAL]
0362,本体を振る操作など、標準的なタッチ操作以外の方法を用いないと利用できない機能や情報がない。,[MAJOR]
0391,アイコンは、その役割や示している状態が伝わるようになっている。,[MAJOR]
0421,"画像の内容が過不足なく伝わるテキストによる説明が、設計資料に明示されている。",[MAJOR]
0451,情報や機能性を一切持たない画像は、スクリーン・リーダーに無視されるようになっている。,[NORMAL]
0511,画像化されたテキストを用いていない。,[MAJOR]
0541,見出しとして表現されるべきものが、設計資料で明示されている。,[NORMAL]
0581,"独自実装が必要なUIコンポーネントのアクセシビリティー確保に必要な情報が、設計資料に明示されている。",[CRITICAL]
0722,複数の種類の情報を含む画面においては、情報の区切りに見出しが配置されている。,[NORMAL]
0751,特定の画面方向に固定した使用を前提としたデザインになっていない。,[MAJOR]
0781,"グローバル・ナビゲーション、ヘッダー、フッター、パンくずリスト、サポートUIなど、複数のページ/画面で共通に用いられている要素は、すべてのページで一貫性のある形で用いられている。",[NORMAL]
0841,"そのページ/画面のサイトやアプリケーション内での位置がグローバル・ナビゲーションやパンくずリスト内で示されている。",[NORMAL]
0931,"エディット・ボックス、チェックボックス、ラジオボタンなど、フォーム・コントロールの役割が分かるように、付加するべきラベルが設計資料で明示されている。",[MAJOR]
0961,"フォーム入力に制限時間が設けられていない。または、以下のいずれかを満たしている：

*  事前にユーザーが制限時間を解除することができる。又は、
*  事前にユーザーが少なくともデフォルト設定の10倍を超える、大幅な制限時間の調整をすることができる。又は、
*  時間切れになる前にユーザーに警告し、かつ少なくとも20秒間の猶予をもって、例えば「スペースキーを押す」などの簡単な操作により、ユーザーが制限時間を10回以上延長することができる。又は、
*  リアルタイムのイベント（例えば、オークション）において制限時間が必須の要素で、その制限時間に代わる手段が存在しない。又は、
*  制限時間が必要不可欠なもので、制限時間を延長することがフォームを無効にすることになる。又は、
*  制限時間が20時間よりも長い。",[MAJOR]
1021,"制限時間が設定されているフォームの入力中に制限時間が超過した場合、それまでの入力内容を失うことなく入力を再開できるようになっている。",[MAJOR]
1051,"フォーム中のフィールドの値の変更や、値変更後のフォーカス移動がトリガーとなって、ページ/画面全体に及ぶような大幅な表示内容の変更、ページ/画面遷移、別のフィールドの値の変更が起こるような機能が設計資料に存在しない。",[CRITICAL]
1081,"設計資料には、フォーム入力でエラーが発生したときに表示される、エラー内容が分かる具体的な文言が明示されている。",[NORMAL]
1111,"フォーム入力に関するエラーについて、エラーの修正方法が分かるエラー・メッセージが設計資料で明示されている。",[NORMAL]
1141,"法的行為、経済的取引、データの変更や削除を生じる機能については、取り消し、送信前の確認・修正、または送信時のエラー・チェックと修正が可能な設計になっている。",[MAJOR]
1171,"ステータス・メッセージとして扱われるべきメッセージ、すなわち表示時や変更時にスクリーン・リーダーによって自動的に読み上げられる必要があるメッセージが、設計資料で特定されている。",[MAJOR]
1201,点滅、自動スクロールを伴うコンテンツがない。,[MAJOR]
1231,ユーザーの集中を阻害するような、自動更新されるコンテンツがない。,[MAJOR]
1261,1秒間に3回以上光るコンテンツがない。,[CRITICAL]
1291,"ユーザーの入力操作や情報の閲覧を妨げるようなタイミングで表示される、画面の内容を大きく変更するような通知がない。",[MAJOR]
1292,"ユーザーの入力操作や情報の閲覧を妨げるようなタイミングで表示される、モーダル・ダイアログがない。",[MAJOR]
1321,"ログイン・セッションに有効期限が設定されていない。または、以下のいずれかを満たしている：

*  ログイン時などに、ユーザーが有効期限の設定を解除することができる。又は、
*  ログイン時などに、ユーザーが少なくともデフォルト設定の10倍を超える、有効期限の大幅な調整をすることができる。又は、
*  時間切れになる前にユーザーに警告し、かつ少なくとも20秒間の猶予をもって、例えば「スペースキーを押す」などの簡単な操作により、ユーザーが有効期限を10回以上延長することができる。又は、
*  有効期限が必要不可欠なもので、有効期限を延長することがコンテンツの動作を無効にすることになる。又は、
*  有効期限が20時間よりも長い。",[MAJOR]
1381,"ログイン・セッションがタイムアウトした場合、再認証後にデータを失うことなくユーザーが操作を継続できるようになっている。",[NORMAL]
1421,3秒以上の長さの音声を含む、自動再生されるコンテンツがない。,[CRITICAL]
1451,ユーザーの注意を阻害するような自動再生される動画やアニメーションがない。,[MAJOR]
1481,"音声・映像コンテンツは、そのコンテンツがなくても不足なく情報が伝わるような内容で、そのコンテンツがテキスト情報の代替もしくは補助的な位置づけであることが明示されている。",[MAJOR]
1511,音声を含むコンテンツには、同期したキャプションが提供されている。,[NORMAL]
1541,"動画コンテンツは、映像を見られない視覚障害者も、サービスの利用や必要な情報の取得を支障なくできるようになっている。",[NORMAL]
1542,すべての動画は、映像を見られない視覚障害者にも理解できるようになっている。,[NORMAL]
1571,"映像がない音声のみのコンテンツについて、音声を書き起こしたテキストが提供されている。",[NORMAL]
1601,音声を含むコンテンツには同期した手話通訳が提供されている。,[MINOR]
1631,音声を含むコンテンツにおいて、背景音は適切な音量になっている。,[NORMAL]
